Basque (eu),Spanish (es),Spanish_Translation
"APO33 musika esperimental erakundearen sortzailea, programatzailea artistikoa, ordenagailu bidezko soinu ikerlaria eta soinu artista da.","Fundador, programador artístico, investigador de sonido mediante computadora y artista sonoro de la organización de música experimental APO33","APO33 es el creador de música experimental, programador artístico, investigador de sonido por ordenador y artista sonoro."
"Ordutegi-programatzailea, gaueko tarifak aprobetxatzeko.","Programador horario, para aprovechar las denominadas tarifas nocturnas.",Programador de horarios para aprovechar las tarifas nocturnas.
Fabrikazio mekanikoko sistema automatizatuen programatzailea.,Programador de sistemas automatizados en fabricación mecánica.,Programador de sistemas automatizados de fabricación mecánica.
"[Diru horrekin, kazetariari, programatzaileari eta bistaratzaileari ordainduko zaie] ERANTZULEAK.","[Con este dinero se pagará al periodista, al programador y al visualizador] LOS RESPONSABLES.","[Con este dinero se abonarán al periodista, programador y visualista] RESPUESTAS."
Kategoriak Antzerki programatzaileak,Organizador de espectáculos de teatro,Categorías Programadores de Teatro
"Lantaldeetan gutxienez hiru profil egon behar dira: game designer, artista eta programatzailea.","Los equipos deben estar compuestos de al menos tres perfiles: diseñador de juegos, artista y programador/a.","En los grupos de trabajo habrá al menos tres perfiles: game designer, artista y programador."
"Bertan informatikaren erabiltzaile mota ugari bildu ziren; programatzaileak, jokuzaleak, grafistak, musikariak, linuxeroak …","Allí se reunieron toda clase de usuarios de informática, desde programadores hasta jugones, pasando por grafistas, músicos, linuxeros.","En ella se reunieron diversos tipos de usuarios informáticos; programadores, jugadores, graffitis, músicos, ..."
"Jarduerak Jarduerak informatikaria, fisikaria, programatzailea, unibertsitateko irakaslea, web developerra eta ingeniaria","Informático teórico, físico, programador, profesor universitario, desarrollador web (desde 1989) e ingeniero","Actividades Informática, Físico, programador, profesor universitario, web developer e ingeniero"
Aitzindaria izan zen konputazio-zientzien arloan eta Mark I erabili zuen lehen emakume programatzailea izan zen.,"Pionera en el mundo de las ciencias de la computación, fue la primera programadora que utilizó el Mark I.",Fue pionera en el campo de las ciencias computacionales y fue el primer programador que utilizó a Mark I.
Primer Plano sailean (zuzendari ospetsuen atzera begirakoak eta foku adierazgarriak) sartu den programaren barrenean sei saio emanen dira; Punto de Vistaren Sail Ofizialerako hautaketa batzordeko kide Guillermo G. Peydró zinegile eta programatzaileak egin du komisario lana.,"En su octava edición, que se sección Primer Plano (Retrospectivas y focos representativos de importantes directores), incluye seis sesiones y ha sido comisariado por el cineasta y programador Guillermo G. Peydró, miembro del comité de selección de la Sección Oficial de Punto de Vista.","Dentro del programa que se ha incluido en la sección Primer Plano (retrospectivas y focos representativos) se ofrecerán seis sesiones; Guillermo G. Peydró, miembro del comité de selección para la Sección Oficial del Punto de Vista, ha sido el encargado de realizar la labor de comisario."
"Ezinezko 5 lanpostuen sailkapenean agertzen diren lanpostu zail horietan, honako hauexek ere erantsi behar dira: kudeatzaileak eta exekutiboak; finantza zein kontabilitate arloko langileak (analista finantzarioak, batez ere); idazkariak, laguntzaileak eta bulegoan laguntzeko langileak; informazioaren teknologietako langileak (garatzaileak eta programatzaileak, datu-baseetako administratzaileak eta informazioaren teknologiako kudeatzaileak); eta ekoizpeneko operadoreak.","A los puestos complicados de llenar en ese top 5 de trabajos imposibles hay que añadir a los gestores y ejecutivos; al personal financiero y contable (sobre todo analistas financieros); las secretarias, asistentes y personal de apoyo de oficina; personal de tecnologías de la información (desarrolladores y programadores, administradores de bases de datos y gestores de tecnología de la información); y operadores de producción.","En estos difíciles puestos de trabajo que aparecen en la clasificación de 5 puestos de trabajo imposibles, se añaden los gestores y ejecutivos; personal financiero y contable (anistas financieros, sobre todo), secretarias, colaboradores y personal de apoyo en la oficina; personal de tecnologías de la información (garadores y programadores, administradores de bases de datos y gestores de tecnología de la información); y operadores de producción."
"Horien artean egongo dira, besteak beste, programatzaileak, diseinatzaileak, argazkilariak edota kontulariak.","Esto incluye programadores, diseñadores, fotógrafos, contables, entre otros muchos.","Entre ellos estarán programadores, diseñadores, fotógrafos o contables."
• Produkzioaren programatzailea.,• Programador de la producción,• Programador de producción.
• Produkzioaren programatzailea.,• Programador de actividades ambientales.,• Programador de producción.
"Sariaren izena Ada Byroni (Ada Lovelaceri) eskainia dago, ingeniaritzaren historian izan den emakumerik azpimarragarrienari, ordenagailuen lehen programatzailea izan zenari, hain zuzen. Eta emakumeen eta gizonen arteko berdintasuna ere sustatu nahi du.","El Premio que está dedicado a Ada Byron (Ada Lovelace), una de las mujeres más destacadas en la historia de la ingeniería reconocida como la primera programadora de ordenadores, también quiere fomentar la igualdad de mujeres y hombres.","El premio está dedicado a Ada Byroni (Ada Lovelaceri), la mujer más destacada en la historia de la ingeniería, que fue el primer programador de ordenadores, y que quiere promover la igualdad de mujeres y hombres."
"Kultura hartan, softwarearen programatzaileak eta garatzaileak beraien artean libreki programak elkartrukatzea arrunta zen.","En dicha cultura, era común que programadores y desarrolladores de software compartieran libremente sus programas unos con otros.","En aquella cultura, el intercambio de programas libremente entre los programadores y desarrolladores del software era común."
"FSFk gainera programatzaileak kontratu zituen GNU proiektuan lan egiteko, baina garapenaren zati handi bat (eta honela jarraitzen du izaten) boluntarioek egin zuten.","La FSF también contrató programadores para contribuir a GNU, aunque una porción substantial del desarrollo fue (y continua siendo) producida por voluntarios.","La FSF había contratado además a los programadores para trabajar en el proyecto GNU, pero buena parte del desarrollo (y sigue siendo así) lo hicieron voluntarios."
"Sergio Galán interakziodiseinatzailearen eta programatzailearen zuzendaritzapean, Boombox edo soinusistema bat garatuko dugu guztion artean, eta ondoren hiriko guneren batean instalatuko dugu edonork erabil ahal dezan.","Bajo la dirección del diseñador de interacción y programador Sergio Galán, desarrollaremos de manera colaborativa un Boombox o sistema de sonido para luego instalar en un punto de la ciudad para el uso colectivo.","Bajo la dirección del interactivo y programador Sergio Galán, desarrollaremos entre todos un Boombox o sistema sonoro, y luego lo instalaremos en alguna de las zonas de la ciudad para que pueda ser utilizado por cualquiera."
Bideojoko programatzaileak,Programadores de videojuegos,Programadores de videojuegos
"Punto de Vistaren atzean, abian jarri zenetik, Carlos Mugiro dugu, zinemazale amorratua, zinema hainbat ikuspegitik bizi duena: programatzailearen, gionistaren edo ikuslearen ikuspegitik.","Detrás de Punto de Vista está desde sus inicios Carlos Mugiro, un apasionado del cine que lo disfruta en múltiples facetas, como programador, como guionista o como espectador.","Detrás del Punto de Vista, desde su puesta en marcha, tenemos a Carlos Mugiro, un apasionado cinéfilo que vive el cine desde diferentes puntos de vista: desde el punto de vista del programador, guionista o espectador."
"Iparraldeko kantua eta musika munduko eragileen errepertorioa kategoriatan sailkatuak (taldeak, kantariak, programatzaileak, formatzaileak, baliabide zentroak...).","Todo un repertorio de actores del canto y de la música vasca de Iparralde (grupos de cantantes, programadores, centros de recursos...). Más información [+]","El canto del Norte y el repertorio de los agentes musicales del mundo están clasificados en categorías (grupos, cantantes, programadores, formadores, centros de recursos...)."
"Javi Pez, P3z edo Elektropez konpositore, produktore, musikari, disc jockey eta ekitalde programatzailea (Etxekalde, Elektronikaldia) da.","Javi Pez, P3z o Elektropez es compositor, productor, músico, disc jockey y programador de eventos (Etxekalde, Elektronikaldia).","Javi Pez, P3z o Electropez es compositor, productor, músico, disc jockey y equipo programador (Etxekalde, Electrónica)."
"SEO eta programatzaileak. Nvivo-ko tipoa, Carlos Sánchez.","SEO y programadores, de la mano del creador de Nvivo, Carlos Sánchez.","SEO y programadores, el tipo de Nvivo, Carlos Sánchez."
Dock Of The Bay jaialdian ikusi ahal izan genuen Mursego ardatz duen “Invisible” film sailkaezinaren zuzendari da Victor Iriarte. Baita Tabakalerako programatzailea ere.,"Víctor Iriarte es el director de ""Invisible"", película inclasificable alrededor de la figura de Mursego, que pasó por el festival También es el programador de Tabakalera.","Víctor Iriarte es el director de la incompetente película de Mursego, con el eje de Dock Of The Bay, y el programador de Tabakalera."
"""Bideojoko programatzaileak"" kategoriako artikuluak",Páginas en la categoría «Programas de televisión sobre videojuegos»,"Artículos de la categoría ""Programadores de vídeo"""
Produkzioaren programatzailea.,Programadora o Programador de la producción.,Programador de producción.
"Alderdi teknikoan, informatikari eta programatzaileak dira izar nagusiak: tresna zein hizkuntza ugariz baliatuz (php, html eta Javascript, besteak beste), nabigazioa eta elkarreraginkortasuna errazteko baliabideak integratzen dituzte, merkataritzako transakzioak “atsegin” eta ziurragoak izan daitezen.","En la parte técnica, las grandes estrellas son informáticos y programadores, encargados de construir e integrar, a través de los diferentes lenguajes (php, html, Javascript, entre otros) y herramientas, recursos que faciliten la navegación, la interactividad y la hagan más “amigable” y segura, en términos de transacciones comerciales.","En el aspecto técnico, las principales estrellas son las informáticas y programadoras: a través de múltiples herramientas y lenguas (php, html y Javascript, entre otras), integran recursos para facilitar la navegación y la interacción, con el fin de que las transacciones comerciales sean más favorables y seguras."
Aplikazioen programatzailea (28),Programador de aplicaciones (28),Programador de aplicaciones (28)
Historiako lehenengo programatzailea izan zen… emakumezkoa!,Por esti El primer programador de la historia fue… ¡una programadora!,Fue el primer programador de la historia... ¡mujer!
"Kategoria:Bideojoko programatzaileak - Wikipedia, entziklopedia askea. Laguntza","Categoría:Programas de televisión sobre videojuegos - Wikipedia, la enciclopedia libre","Categoría: Programadores de videojuegos - Wikipedia, enciclopedia libre. Ayuda"
"1960 eta 1970eko hamarkadan softwarea ez zen produktu bat kontsideratzen, garai hartako konputagailu handien saltzaileek (mainframes izenekoak) beren erosleei ematen zien eranskin bat bezala baizik, ondoren hauek erabili ahal izateko.[2] Kultura hartan, softwarearen programatzaileak eta garatzaileak beraien artean libreki programak elkartrukatzea arrunta zen.","Índice HistoriaEditar Artículos los años 1960 y 1970, el software no se consideraba un producto sino un añadido que los vendedores de las grandes computadoras de la época (las mainframes)[7] aportaban a sus clientes para que estos pudieran usarlas.","En la década de 1960 y 1970 el software no se consideraba un producto, sino como un aditamento que los vendedores de grandes computadoras de la época, llamados maimframes, daban a sus compradores para poder utilizarlos posteriormente.[2] En aquella cultura, el programador y desarrollador del software era común entre ellos el intercambio de programas."
Sistema diseinatzailea eta programatzailea,Diseñador y Programador Sistema,Sistema diseñador y programador
"Eta ez dadila aipatu gabe geratu, zuentzat, sorgin-artistontzat, aukera moduan ere proposatzen dugula arte-bilera hau, sortzeko prozesuan dauden lanen zatiak aurkeztu eta dokumentatu ahal izateko eta, aldi berean, programatzaileak/komisarioak gonbidatzeko, etorkizun hurbilean eskuragarri egongo diren piezak eta lanak proposatzeko haiei.","Y que no quede sin mencionar que lo proponemos también como una oportunidad para vosotrxs, sorgins-artistas, podás presentar y documentar fragmentos de trabajos en proceso de creación, y a su vez, invitar a programadorxs/comisarixs para proponerles piezas y trabajos que estarán disponibles en un futuro próximo.","Y que no quede sin mencionar que para vosotros, como brujas-artestas, proponemos también esta reunión de arte como oportunidad para presentar y documentar fragmentos de las obras en proceso de creación y, al mismo tiempo, invitar a los programadores/comisarios a proponer piezas y trabajos disponibles en el futuro próximo."
"Atal ofizialeko saridunak aukeratuko dituzte Ben Russell eta Naomi Uman zinemagileek (lehenbizikoak film onenaren Punto de Vista saria irabazi zuen 2010eko otsailean), MoMAko Josh Siegel programatzaileak eta Josep M. Català akademikoak. 2010.10.08","Los cineastas Ben Russell (ganador del premio Punto de Vista a la mejor película en febrero de 2010) y Naomi Uman serán de momento los encargados, junto con el programador del MoMA Josh Siegel y el académico Josep Mª Catalá, de decidir qué películas de Sección Oficial serán galardonadas.","Los cineastas Ben Russell y Naomi Uman (el primero ganó el Punto de Vista a la mejor película en febrero de 2010), el programador Josh Siegel de MoMA y el académico Josep M. Català.08."
